0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.453881,-2.800692,0.730801,0.122559,-0.102096,-0.737032,0.656765,-0.154463,-0.1745,0.389675,0.347047,-0.217475,-0.07139,-0.435187,-0.43574,-0.26199,0.916695,-0.633101,0.00423,-0.103408,0.547568,0.802352,1.303216,-0.634906,-1.874446,0.002275
1.453765,-2.801067,0.730487,0.122726,-0.102455,-0.7366,0.657162,-0.155581,-0.1745,0.38885,0.350773,-0.219311,-0.071838,-0.435446,-0.437341,-0.262446,0.919742,-0.635047,0.004331,-0.103973,0.551424,0.80064,1.304401,-0.635606,-1.873805,0.002285
1.453601,-2.801464,0.730154,0.122863,-0.102936,-0.736084,0.65764,-0.156732,-0.1745,0.387893,0.354921,-0.221034,-0.072412,-0.435431,-0.439154,-0.263117,0.922994,-0.637248,0.004425,-0.104309,0.554581,0.799034,1.304528,-0.635618,-1.872712,0.000324
1.453513,-2.801902,0.729855,0.122909,-0.10344,-0.73549,0.658216,-0.157906,-0.1745,0.386813,0.359355,-0.222515,-0.07292,-0.43494,-0.441101,-0.264155,0.926023,-0.639456,0.004693,-0.105103,0.556547,0.798025,1.30568,-0.634706,-1.87015,-0.002214
1.45352,-2.802344,0.729649,0.122885,-0.103824,-0.734841,0.658885,-0.158996,-0.1745,0.385537,0.363276,-0.223375,-0.073293,-0.433916,-0.442884,-0.265679,0.928126,-0.641255,0.00513,-0.106963,0.55779,0.796747,1.307387,-0.631226,-1.867331,-0.003021
1.453613,-2.802774,0.729564,0.122576,-0.104203,-0.734196,0.659601,-0.159191,-0.1745,0.384024,0.366007,-0.223428,-0.073514,-0.431756,-0.444303,-0.267745,0.929,-0.642407,0.005718,-0.109168,0.554799,0.793526,1.308027,-0.62443,-1.859739,-0.005377
1.453769,-2.803078,0.729626,0.122229,-0.104312,-0.733604,0.660306,-0.158972,-0.1745,0.382492,0.36676,-0.222322,-0.073563,-0.429326,-0.445056,-0.27013,0.928276,-0.642488,0.006303,-0.113218,0.549659,0.787477,1.308316,-0.609513,-1.848845,-0.009062
1.453972,-2.803194,0.729798,0.121637,-0.10443,-0.733187,0.66086,-0.157839,-0.1745,0.381249,0.365869,-0.220312,-0.073464,-0.426471,-0.445193,-0.272372,0.926481,-0.641641,0.006772,-0.120853,0.548797,0.775393,1.304904,-0.588728,-1.82629,-0.015599
1.4544,-2.803174,0.73002,0.120692,-0.104501,-0.733008,0.66122,-0.155836,-0.174497,0.3804,0.363874,-0.218054,-0.072957,-0.423533,-0.444813,-0.27415,0.924427,-0.640233,0.007365,-0.132695,0.557022,0.75847,1.297938,-0.560282,-1.784081,-0.035069
1.454733,-2.802953,0.730281,0.118502,-0.104195,-0.733263,0.661382,-0.15261,-0.172067,0.379999,0.36203,-0.216324,-0.0724,-0.418831,-0.441553,-0.276419,0.921011,-0.637757,0.00749,-0.150057,0.571004,0.733688,1.289295,-0.518911,-1.730237,-0.059476
1.453745,-2.802687,0.730434,0.112944,-0.10492,-0.734046,0.661371,-0.144614,-0.163929,0.379423,0.364054,-0.21574,-0.073721,-0.406097,-0.433109,-0.280846,0.916236,-0.635455,0.00546,-0.176701,0.601462,0.686706,1.292022,-0.456068,-1.659717,-0.101714
